strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	authors
Algeria/G0638_2264/2020	EPI_ISL_418241	?	NIC Viral Respiratory Unit - Institut Pasteur of Algeria	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
Algeria/G0640_2265/2020	EPI_ISL_418242	?	NIC Viral Respiratory Unit - Institut Pasteur of Algeria	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
Algeria/G0860_2262/2020	EPI_ISL_420037	?	NIC Viral Respiratory Unit - Institut Pasteur of Algeria	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/10001DM/2020	EPI_ISL_447717	?	unknown	Genomic platform	De Prost et al
France/10002PM/2020	EPI_ISL_447721	?	unknown	Genomic platform	De Prost et al
France/10003SN/2020	EPI_ISL_447719	?	unknown	Genomic platform	De Prost et al
France/10004CF/2020	EPI_ISL_447695	?	unknown	Genomic platform	De Prost et al
France/10006HC/2020	EPI_ISL_447727	?	unknown	Genomic platform	De Prost et al
France/10007LJ/2020	EPI_ISL_447725	?	unknown	Genomic platform	De Prost et al
France/10008DM/2020	EPI_ISL_447697	?	unknown	Genomic platform	De Prost et al
France/10009EE/2020	EPI_ISL_447696	?	unknown	Genomic platform	De Prost et al
France/10010LA/2020	EPI_ISL_447699	?	unknown	Genomic platform	De Prost et al
France/10011AS/2020	EPI_ISL_447713	?	unknown	Genomic platform	De Prost et al
France/10012BM/2020	EPI_ISL_447709	?	unknown	Genomic platform	De Prost et al
France/10013BA/2020	EPI_ISL_447711	?	unknown	Genomic platform	De Prost et al
France/10014BC/2020	EPI_ISL_447700	?	unknown	Genomic platform	De Prost et al
France/10015BY/2020	EPI_ISL_447708	?	unknown	Genomic platform	De Prost et al
France/10016DC/2020	EPI_ISL_447707	?	unknown	Genomic platform	De Prost et al
France/10017GS/2020	EPI_ISL_447710	?	unknown	Genomic platform	De Prost et al
France/10018HJ/2020	EPI_ISL_447703	?	unknown	Genomic platform	De Prost et al
France/10019LM/2020	EPI_ISL_447702	?	unknown	Genomic platform	De Prost et al
France/10020MM/2020	EPI_ISL_447704	?	unknown	Genomic platform	De Prost et al
France/10021SB/2020	EPI_ISL_447712	?	unknown	Genomic platform	De Prost et al
France/10022AR/2020	EPI_ISL_447715	?	unknown	Genomic platform	De Prost et al
France/10023FD/2020	EPI_ISL_447714	?	unknown	Genomic platform	De Prost et al
France/10025GM/2020	EPI_ISL_447720	?	unknown	Genomic platform	De Prost et al
France/10026SL/2020	EPI_ISL_447722	?	unknown	Genomic platform	De Prost et al
France/10027AA/2020	EPI_ISL_447654	?	unknown	Genomic platform	De Prost et al
France/10028CD/2020	EPI_ISL_447726	?	unknown	Genomic platform	De Prost et al
France/10029DT/2020	EPI_ISL_447669	?	unknown	Genomic platform	De Prost et al
France/10030NV/2020	EPI_ISL_447663	?	unknown	Genomic platform	De Prost et al
France/10031BS/2020	EPI_ISL_447670	?	unknown	Genomic platform	De Prost et al
France/10032KL/2020	EPI_ISL_447672	?	unknown	Genomic platform	De Prost et al
France/10033ZM/2020	EPI_ISL_447674	?	unknown	Genomic platform	De Prost et al
France/10034HM/2020	EPI_ISL_447675	?	unknown	Genomic platform	De Prost et al
France/10036BG/2020	EPI_ISL_447660	?	unknown	Genomic platform	De Prost et al
France/10037CJ/2020	EPI_ISL_447661	?	unknown	Genomic platform	De Prost et al
France/10040LJ/2020	EPI_ISL_447664	?	unknown	Genomic platform	De Prost et al
France/10041MR/2020	EPI_ISL_447665	?	unknown	Genomic platform	De Prost et al
France/10045DZ/2020	EPI_ISL_447677	?	unknown	Genomic platform	De Prost et al
France/10046GM/2020	EPI_ISL_447668	?	unknown	Genomic platform	De Prost et al
France/10048SA/2020	EPI_ISL_447667	?	unknown	Genomic platform	De Prost et al
France/10050RA/2020	EPI_ISL_447676	?	unknown	Genomic platform	De Prost et al
France/10051SM/2020	EPI_ISL_447678	?	unknown	Genomic platform	De Prost et al
France/10053BP/2020	EPI_ISL_447728	?	unknown	Genomic platform	De Prost et al
France/10057CJ/2020	EPI_ISL_447688	?	unknown	Genomic platform	De Prost et al
France/10059IS/2020	EPI_ISL_447690	?	unknown	Genomic platform	De Prost et al
France/10060KV/2020	EPI_ISL_447683	?	unknown	Genomic platform	De Prost et al
France/10062MD/2020	EPI_ISL_447689	?	unknown	Genomic platform	De Prost et al
France/10063BI/2020	EPI_ISL_447679	?	unknown	Genomic platform	De Prost et al
France/10064DR/2020	EPI_ISL_447729	?	unknown	Genomic platform	De Prost et al
France/10065EE/2020	EPI_ISL_447730	?	unknown	Genomic platform	De Prost et al
France/10066GJ/2020	EPI_ISL_447680	?	unknown	Genomic platform	De Prost et al
France/10068ND/2020	EPI_ISL_447691	?	unknown	Genomic platform	De Prost et al
France/10069NM/2020	EPI_ISL_447681	?	unknown	Genomic platform	De Prost et al
France/10070SK/2020	EPI_ISL_447731	?	unknown	Genomic platform	De Prost et al
France/10071BR/2020	EPI_ISL_447682	?	unknown	Genomic platform	De Prost et al
France/10072CG/2020	EPI_ISL_447685	?	unknown	Genomic platform	De Prost et al
France/10074LD/2020	EPI_ISL_447684	?	unknown	Genomic platform	De Prost et al
France/10076MH/2020	EPI_ISL_447686	?	unknown	Genomic platform	De Prost et al
France/10078MA/2020	EPI_ISL_447687	?	unknown	Genomic platform	De Prost et al
France/10080AA/2020	EPI_ISL_447701	?	unknown	Genomic platform	De Prost et al
France/20001SE/2020	EPI_ISL_447666	?	unknown	Genomic platform	De Prost et al
France/30001MB/2020	EPI_ISL_447723	?	unknown	Genomic platform	De Prost et al
France/40002VJ/2020	EPI_ISL_447733	?	unknown	Genomic platform	De Prost et al
France/40003KA/2020	EPI_ISL_447724	?	unknown	Genomic platform	De Prost et al
France/40004SR/2020	EPI_ISL_447656	?	unknown	Genomic platform	De Prost et al
France/40005BH/2020	EPI_ISL_447658	?	unknown	Genomic platform	De Prost et al
France/40006SG/2020	EPI_ISL_447662	?	unknown	Genomic platform	De Prost et al
France/40007RD/2020	EPI_ISL_447692	?	unknown	Genomic platform	De Prost et al
France/50001AR/2020	EPI_ISL_447698	?	unknown	Genomic platform	De Prost et al
France/50002BS/2020	EPI_ISL_447694	?	unknown	Genomic platform	De Prost et al
France/50004CS/2020	EPI_ISL_447706	?	unknown	Genomic platform	De Prost et al
France/50005JM/2020	EPI_ISL_447705	?	unknown	Genomic platform	De Prost et al
France/50006PT/2020	EPI_ISL_447732	?	unknown	Genomic platform	De Prost et al
France/50007PI/2020	EPI_ISL_447718	?	unknown	Genomic platform	De Prost et al
France/50008KC/2020	EPI_ISL_447673	?	unknown	Genomic platform	De Prost et al
France/50010DC/2020	EPI_ISL_447657	?	unknown	Genomic platform	De Prost et al
France/50011LM/2020	EPI_ISL_447716	?	unknown	Genomic platform	De Prost et al
France/5003KM/2020	EPI_ISL_447693	?	unknown	Genomic platform	De Prost et al
France/60002VV/2020	EPI_ISL_447671	?	unknown	Genomic platform	De Prost et al
France/60003NG/2020	EPI_ISL_447659	?	unknown	Genomic platform	De Prost et al
France/70001GR/2020	EPI_ISL_447655	?	unknown	Genomic platform	De Prost et al
France/ARA094100/2020	EPI_ISL_418412	?	Centre Hospitalier des Vals d'Ardeche	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA09428/2020	EPI_ISL_418413	?	Centre Hospitalier de Macon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA09434/2020	EPI_ISL_418414	?	Centre Hospitalier de Valence	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA09451/2020	EPI_ISL_418415	?	Centre Hospitalier de Valence	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA09588/2020	EPI_ISL_418416	?	GH Les Portes du Sud	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA09686/2020	EPI_ISL_418417	?	Centre Hospitalier de Valence	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10163/2020	EPI_ISL_418418	?	Centre Hospitalier Saint Joseph Saint Luc	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10165/2020	EPI_ISL_418419	?	Centre Hospitalier Saint Joseph Saint Luc	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10170/2020	EPI_ISL_418420	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10172/2020	EPI_ISL_418421	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10184/2020	EPI_ISL_418422	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10188/2020	EPI_ISL_418423	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10189/2020	EPI_ISL_418424	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10192/2020	EPI_ISL_418425	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10251/2020	EPI_ISL_418426	?	Centre Hospitalier de Bourg en Bresse	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10257/2020	EPI_ISL_418427	?	Hopital Privé de l'Est Lyonnais	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10282/2020	EPI_ISL_418428	?	Centre Hospitalier Lucien Hussel	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10552/2020	EPI_ISL_419168	?	Centre Hospitalier de Valence	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10876/2020	EPI_ISL_418429	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10910/2020	EPI_ISL_418430	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10968/2020	EPI_ISL_418431	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA11036/2020	EPI_ISL_418432	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA11939/2020	EPI_ISL_419169	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA11943/2020	EPI_ISL_419170	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA11949/2020	EPI_ISL_419171	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA11950/2020	EPI_ISL_419172	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA11952/2020	EPI_ISL_419173	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA11980/2020	EPI_ISL_419174	?	Centre Hospitalier de Macon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA11995/2020	EPI_ISL_419175	?	Centre Hospitalier de Macon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA11997/2020	EPI_ISL_419176	?	Centre Hospitalier de Macon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12125/2020	EPI_ISL_419177	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12217/2020	EPI_ISL_419178	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12222/2020	EPI_ISL_419179	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
