strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	division_exposure	location	segment	length	host	age	sex	originating_lab	submitting_lab	authors	url	Publication doi if not on GenBank	date_submitted	note
Algeria/2264/2020	ncov	EPI_ISL_420037	?	2020-03-02	Africa	Algeria	Boufarik	Boufarik	Boufarik	genome	29876	Human	28	Female	NIC Viral Respiratory Unit - Institut Pasteur of Algeria	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	travel from France
Algeria/2265/2020	ncov	EPI_ISL_418242	?	2020-03-08	Africa	Algeria	Blida	Blida	Blida	genome	29876	Human	87	Male	NIC Viral Respiratory Unit - Institut Pasteur of Algeria	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	travel from France
Algeria/G0860_2262/2020	ncov	EPI_ISL_420037	?	2020-03-02	Africa	Algeria	Boufarik	Boufarik	Boufarik	genome	29879	Human	41	Male	NIC Viral Respiratory Unit - Institut Pasteur of Algeria	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	travel from France
Australia/VIC01/2020	ncov	EPI_ISL_406844	MT007544	2020-01-25	Oceania	Australia	Victoria	Hubei	Clayton	genome	29893	Human	50	Male	Monash Medical Centre	Collaboration between the University of Melbourne at The Peter Doherty Institute for Infection and Immunity, and the Victorian Infectious Disease Reference Laboratory	Caly et al	https://www.gisaid.org	?	2020-01-31	
Brazil/SPBR-02/2020	ncov	EPI_ISL_413016	MT126808	2020-02-28	South America	Brazil	Sao Paulo	Lombardy	Sao Paulo	genome	29903	Human	32	Male	Hospital Israelita Albert Einstein	Instituto Adolfo Lutz, Interdisciplinary Procedures Center, Strategic Laboratory	Jaqueline Goes de Jesus et al	https://www.gisaid.org	?	2020-03-02	
Wuhan/WH04/2020	ncov	EPI_ISL_406801	LR757995	2020-01-05	Asia	China	Hubei	Hubei	Wuhan	genome	29872	Human	39	Male	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	Chen et al	https://www.gisaid.org	?	2020-01-30	
Wuhan/WH03/2020	ncov	EPI_ISL_406800	LR757996	2020-01-01	Asia	China	Hubei	Hubei	Wuhan	genome	29868	Human	21	Female	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	Chen et al	https://www.gisaid.org	?	2020-01-30	
Wuhan/WH01/2019	ncov	EPI_ISL_406798	LR757998	2019-12-26	Asia	China	Hubei	Hubei	Wuhan	genome	29866	Human	44	Male	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	Chen et al	https://www.gisaid.org	?	2020-01-30	
Wuhan-Hu-1/2019	ncov	EPI_ISL_402125	MN908947	2019-12-26	Asia	China	Hubei	Hubei	Wuhan	genome	29903	Human	?	?	unknown	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	Zhang et al	https://www.gisaid.org	?	2020-01-12	
Shenzhen/HKU-SZ-002/2020	ncov	EPI_ISL_406030	MN938384	2020-01-10	Asia	China	Guangdong	Guangdong	Shenzhen	genome	29838	Human	66	Male	The University of Hong Kong - Shenzhen Hospital	Li Ka Shing Faculty of Medicine, The University of Hong Kong	Chan et al	https://www.gisaid.org	?	2020-01-24	
Shenzhen/HKU-SZ-005/2020	ncov	EPI_ISL_405839	MN975262	2020-01-11	Asia	China	Guangdong	Guangdong	Shenzhen	genome	29891	Human	10	Male	The University of Hong Kong - Shenzhen Hospital	Li Ka Shing Faculty of Medicine, The University of Hong Kong	Chan et al	https://www.gisaid.org	?	2020-01-24	
China/WHU01/2020	ncov	EPI_ISL_406716	MN988668	2020-01-02	Asia	China	Hubei	Hubei	Wuhan	genome	29881	Human	?	?	unknown	State Key Laboratory of Virology, Wuhan University	Chen et al	https://www.gisaid.org	?	2020-01-30	
China/WHU02/2020	ncov	EPI_ISL_406717	MN988669	2020-01-02	Asia	China	Hubei	Hubei	Wuhan	genome	29881	Human	?	?	unknown	State Key Laboratory of Virology, Wuhan University	Chen et al	https://www.gisaid.org	?	2020-01-30	
Wuhan/WIV02/2019	ncov	EPI_ISL_402127	MN996527	2019-12-30	Asia	China	Hubei	Hubei	Wuhan	genome	29825	Human	32	Male	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Zhou et al	https://www.gisaid.org	?	2020-01-18	
